,endTime,artistName,trackName,msPlayed,full_track,segsPlayed,In Library,uri_tot
2105,2021-03-25 20:04,Nicki Nicole,Colocao,179956,Colocao:Nicki Nicole,179.96,0,7MCFjPDImfjQv7GynHgVrR
2106,2021-03-25 20:07,Wolty,Black Sheep,171411,Black Sheep:Wolty,171.41,0,5iwRyLUJNzMtuuAKhQq9W7
2107,2021-03-25 20:08,Rusherking,Además de Mí - Remix,23771,Además de Mí - Remix:Rusherking,23.77,0,
2108,2021-03-25 20:13,Fito Paez,Dos en la ciudad,342160,Dos en la ciudad:Fito Paez,342.16,0,
2109,2021-03-25 20:18,Conociendo Rusia,Quiero Que Me Llames,258106,Quiero Que Me Llames:Conociendo Rusia,258.11,0,7jcXQXxo0lvpwg2twqJpqc
2110,2021-03-25 20:21,Conociendo Rusia,Bruja de Barracas,217340,Bruja de Barracas:Conociendo Rusia,217.34,0,2tLZ107KERJF7nwCAucg7p
2111,2021-03-25 20:25,Conociendo Rusia,La Puerta,235962,La Puerta:Conociendo Rusia,235.96,0,3sObHIp9VT7btqZQsRsgTu
2112,2021-03-25 20:29,Conociendo Rusia,En Todos los Lugares,243093,En Todos los Lugares:Conociendo Rusia,243.09,0,0wgCxklMqVJawo83Xhk6ww
2113,2021-03-25 20:33,Conociendo Rusia,Luces de Neón,230053,Luces de Neón:Conociendo Rusia,230.05,0,36a3ktHwMG5xvGpsyt1I0c
2114,2021-03-25 20:37,Conociendo Rusia,Montaña Infinita,230854,Montaña Infinita:Conociendo Rusia,230.85,1,522MbOYOtRZTyRQNfJrE5h
2115,2021-03-25 20:40,Conociendo Rusia,No Se Borra,184967,No Se Borra:Conociendo Rusia,184.97,1,6YAoJWrh22Luk5X7k3oGJl
2116,2021-03-25 20:46,Fito Paez,Al lado del camino,326195,Al lado del camino:Fito Paez,326.2,1,4Ft15s9T7pcG7O85VbdxVl
2117,2021-03-25 20:48,Lisandro Aristimuño,Levitar,136821,Levitar:Lisandro Aristimuño,136.82,0,
2118,2021-03-25 20:50,Lisandro Aristimuño,Hijo del Sol,131949,Hijo del Sol:Lisandro Aristimuño,131.95,0,
2119,2021-03-25 20:53,El Zar,Los Chicos No Entienden,196070,Los Chicos No Entienden:El Zar,196.07,0,
2120,2021-03-25 20:54,El Kuelgue,Bossa & People,34484,Bossa & People:El Kuelgue,34.48,1,4yFh5okeS2u5iO5vAsBsHc
2121,2021-03-25 23:40,Franz Liszt,"Ständchen (From Schwanengesang, D957)",375920,"Ständchen (From Schwanengesang, D957):Franz Liszt",375.92,0,
2122,2021-03-25 23:42,David Schultz,Tears In Heaven,163520,Tears In Heaven:David Schultz,163.52,0,
2123,2021-03-25 23:44,Dustin O'Halloran,A New Home,114053,A New Home:Dustin O'Halloran,114.05,0,
2124,2021-03-25 23:46,RPM (Relaxing Piano Music),Softly,84013,Softly:RPM (Relaxing Piano Music),84.01,0,
2125,2021-03-25 23:48,Johann Sebastian Bach,"Shepherd's Song (After ""Schafe können sicher weiden"", BWV 208, No. 9)",114000,"Shepherd's Song (After ""Schafe können sicher weiden"", BWV 208, No. 9):Johann Sebastian Bach",114.0,0,
2126,2021-03-25 23:51,Alexis Ffrench,Reborn,211819,Reborn:Alexis Ffrench,211.82,0,
2127,2021-03-25 23:54,Johann Sebastian Bach,"Stanza BWV 855a ""The Children's Room"" - Re-Recorded Version",182146,"Stanza BWV 855a ""The Children's Room"" - Re-Recorded Version:Johann Sebastian Bach",182.15,0,
2128,2021-03-25 23:59,Yiruma,Prelude in G Minor,264093,Prelude in G Minor:Yiruma,264.09,0,
2129,2021-03-26 00:06,Maurice Ravel,"Gaspard de la Nuit, M. 55: 1. Ondine - Live",416786,"Gaspard de la Nuit, M. 55: 1. Ondine - Live:Maurice Ravel",416.79,0,
2130,2021-03-26 00:56,Ludwig van Beethoven,"Diabelli Variations - 33 Variations on a Waltz by Anton Diabelli, Op. 120: Var. 3 - L'istesso tempo",46188,"Diabelli Variations - 33 Variations on a Waltz by Anton Diabelli, Op. 120: Var. 3 - L'istesso tempo:Ludwig van Beethoven",46.19,0,
2131,2021-03-26 00:58,David Schultz,Yesterday,166000,Yesterday:David Schultz,166.0,0,
2132,2021-03-26 01:03,Christoph Willibald Gluck,"Una melodia di Gluck ""The Therapy Room"" - Re-Recorded Version",241053,"Una melodia di Gluck ""The Therapy Room"" - Re-Recorded Version:Christoph Willibald Gluck",241.05,0,
2133,2021-03-26 01:07,Olga Scheps,Armellodie,280591,Armellodie:Olga Scheps,280.59,0,
